name,brand,price,old_price
"Suport magnetic de telefon pentru ventilatie Tellur MCM4, rosu",Tellur,14.9,
"Suport magnetic de telefon pentru ventilatie Tellur MCM4, albastru",Tellur,14.9,
"Suport magnetic de telefon pentru ventilatie Tellur MCM4, argintiu",Tellur,14.9,
"Suport magnetic de telefon pentru ventilatie Tellur MCM4, negru",Tellur,14.9,
"Suport magnetic de telefon pentru ventilatie Tellur MCM3, negru",Tellur,9.9,
"Suport magnetic universal de telefon Tellur MUM, negru",Tellur,39.9,
"Casti bluetooth Huawei FreeBuds 4i, Anulare activa a zgomotului, 10 ore, Alb",Huawei,359.9,
"Casca bluetooth Tellur Vox 55 TLL511321, Negru",Tellur,56.9,
"Cablu Type-C/Type-C Tellur TLL155374 PD60, 1m, Negru",Tellur,29.9,
"Cablu lightning Tellur TLL155354, 1.2, LED, Rosu",Tellur,24.9,
"Cablu lightning Tellur TLL155364, 1.2m, LED, Albastru",Tellur,24.9,
"Cablu USB Type-C, Tellur TLL155393, 1m, Magnetic, Negru",Tellur,26.9,
"Cablu microUSB Tellur TLL155383, 1m, Magnetic, Negru",Tellur,22,
"Cablu lightning Tellur TLL155373, 1.2m, LED, Negru",Tellur,24.9,
"Cablu microUSB Tellur TLL155353, 1.2m, LED, Negru",Tellur,21.9,
"Cablu USB Type-C Tellur TLL155363, 1.2m, LED, Negru",Tellur,24.9,
"Cablu USB Type-C Tellur TLL155381, 1m, Denim, Albastru",Tellur,28.9,
"Cablu microUSB Tellur TLL155371, 1m, Denim, Albastru",Tellur,24.9,
"Power bank Tellur PD200, 20.000 mAh, display, Negru",Tellur,95,
"Casti audio on ear Panasonic HF520BLK, Extra Bass Wireless, on-ear, Negru",Panasonic,249.9,
"Casti audio on ear Panasonic RB-HF420WHT, Extra Bass Wireless, on-ear, Alb",Panasonic,199.9,
"Casti audio on ear Panasonic HF420BLK, Extra Bass Wireless, on-ear, Negru",Panasonic,199.9,
"Casti audio on ear Panasonic HF420BLU, Extra Bass Wireless, on-ear, Albastru",Panasonic,199.9,
"Tableta Huawei MediaPad T3, LTE, 16GB, 2GB Ram, Quad Core, Display 9.6"", Gold",Huawei,679.9,
"Cover Samsung S21 Ultra, Silicon, Violet",Samsung,89.9,
"Cover Samsung S21 Ultra, Clear + Stand",Samsung,89.9,
